replicate,algae_strain,harvesting_regime,chemical_species,abundance
1,Tsv1,Heavy,FAs,520.21
1,Tsv1,Heavy,saturated_Fas,123.15
1,Tsv1,Heavy,omega_3_polyunsaturated_Fas,186.12
1,Tsv1,Heavy,monounsaturated_Fas,28.35
1,Tsv1,Heavy,polyunsaturated_Fas,368.71
1,Tsv1,Heavy,omega_6_polyunsaturated_Fas,182.6
1,Tsv1,Heavy,lysine,84.1
1,Tsv1,Heavy,methionine,24.1
1,Tsv1,Heavy,essential_Aas,691.8
1,Tsv1,Heavy,non_essential_Aas,919.4
2,Tsv1,Heavy,FAs,449.84
2,Tsv1,Heavy,saturated_Fas,107.58
2,Tsv1,Heavy,omega_3_polyunsaturated_Fas,165.73
2,Tsv1,Heavy,monounsaturated_Fas,24.99
2,Tsv1,Heavy,polyunsaturated_Fas,317.27
2,Tsv1,Heavy,omega_6_polyunsaturated_Fas,151.54
2,Tsv1,Heavy,lysine,82.9
2,Tsv1,Heavy,methionine,21.8
2,Tsv1,Heavy,essential_Aas,619.9
2,Tsv1,Heavy,non_essential_Aas,797.7
3,Tsv1,Heavy,FAs,514.22
3,Tsv1,Heavy,saturated_Fas,136.5
3,Tsv1,Heavy,omega_3_polyunsaturated_Fas,205.96
3,Tsv1,Heavy,monounsaturated_Fas,33.1
3,Tsv1,Heavy,polyunsaturated_Fas,344.63
3,Tsv1,Heavy,omega_6_polyunsaturated_Fas,138.67
3,Tsv1,Heavy,lysine,105.8
3,Tsv1,Heavy,methionine,24.4
3,Tsv1,Heavy,essential_Aas,682.5
3,Tsv1,Heavy,non_essential_Aas,878.6
1,Tsv1,Light,FAs,579.95
1,Tsv1,Light,saturated_Fas,144.95
1,Tsv1,Light,omega_3_polyunsaturated_Fas,245.07
1,Tsv1,Light,monounsaturated_Fas,34.17
1,Tsv1,Light,polyunsaturated_Fas,400.83
1,Tsv1,Light,omega_6_polyunsaturated_Fas,155.76
1,Tsv1,Light,lysine,119.6
1,Tsv1,Light,methionine,28.4
1,Tsv1,Light,essential_Aas,711.7
1,Tsv1,Light,non_essential_Aas,904.9
2,Tsv1,Light,FAs,534.8
2,Tsv1,Light,saturated_Fas,144.59
2,Tsv1,Light,omega_3_polyunsaturated_Fas,230.48
2,Tsv1,Light,monounsaturated_Fas,22.77
2,Tsv1,Light,polyunsaturated_Fas,367.44
2,Tsv1,Light,omega_6_polyunsaturated_Fas,136.96
2,Tsv1,Light,lysine,117
2,Tsv1,Light,methionine,26
2,Tsv1,Light,essential_Aas,699.3
2,Tsv1,Light,non_essential_Aas,888.1
3,Tsv1,Light,FAs,513.06
3,Tsv1,Light,saturated_Fas,132.72
3,Tsv1,Light,omega_3_polyunsaturated_Fas,236.64
3,Tsv1,Light,monounsaturated_Fas,22.16
3,Tsv1,Light,polyunsaturated_Fas,358.17
3,Tsv1,Light,omega_6_polyunsaturated_Fas,121.53
3,Tsv1,Light,lysine,106.4
3,Tsv1,Light,methionine,24.8
3,Tsv1,Light,essential_Aas,649.3
3,Tsv1,Light,non_essential_Aas,818
1,Tsv2,Heavy,FAs,373.34
1,Tsv2,Heavy,saturated_Fas,90.56
1,Tsv2,Heavy,omega_3_polyunsaturated_Fas,125.93
1,Tsv2,Heavy,monounsaturated_Fas,17.31
1,Tsv2,Heavy,polyunsaturated_Fas,265.48
1,Tsv2,Heavy,omega_6_polyunsaturated_Fas,139.55
1,Tsv2,Heavy,lysine,93.1
1,Tsv2,Heavy,methionine,24.1
1,Tsv2,Heavy,essential_Aas,690.6
1,Tsv2,Heavy,non_essential_Aas,866.7
2,Tsv2,Heavy,FAs,409.4
2,Tsv2,Heavy,saturated_Fas,102.97
2,Tsv2,Heavy,omega_3_polyunsaturated_Fas,135.58
2,Tsv2,Heavy,monounsaturated_Fas,16.14
2,Tsv2,Heavy,polyunsaturated_Fas,290.29
2,Tsv2,Heavy,omega_6_polyunsaturated_Fas,154.71
2,Tsv2,Heavy,lysine,95.4
2,Tsv2,Heavy,methionine,26.9
2,Tsv2,Heavy,essential_Aas,725.7
2,Tsv2,Heavy,non_essential_Aas,919.9
3,Tsv2,Heavy,FAs,389.63
3,Tsv2,Heavy,saturated_Fas,100.81
3,Tsv2,Heavy,omega_3_polyunsaturated_Fas,132.41
3,Tsv2,Heavy,monounsaturated_Fas,16.63
3,Tsv2,Heavy,polyunsaturated_Fas,272.19
3,Tsv2,Heavy,omega_6_polyunsaturated_Fas,139.77
3,Tsv2,Heavy,lysine,95.6
3,Tsv2,Heavy,methionine,24.6
3,Tsv2,Heavy,essential_Aas,724.9
3,Tsv2,Heavy,non_essential_Aas,905.1
1,Tsv2,Light,FAs,489.82
1,Tsv2,Light,saturated_Fas,112.51
1,Tsv2,Light,omega_3_polyunsaturated_Fas,175.41
1,Tsv2,Light,monounsaturated_Fas,21.82
1,Tsv2,Light,polyunsaturated_Fas,355.49
1,Tsv2,Light,omega_6_polyunsaturated_Fas,180.08
1,Tsv2,Light,lysine,100.6
1,Tsv2,Light,methionine,26.3
1,Tsv2,Light,essential_Aas,784.5
1,Tsv2,Light,non_essential_Aas,1031.5
2,Tsv2,Light,FAs,540.83
2,Tsv2,Light,saturated_Fas,125.63
2,Tsv2,Light,omega_3_polyunsaturated_Fas,196.95
2,Tsv2,Light,monounsaturated_Fas,25.12
2,Tsv2,Light,polyunsaturated_Fas,390.09
2,Tsv2,Light,omega_6_polyunsaturated_Fas,193.14
2,Tsv2,Light,lysine,105.8
2,Tsv2,Light,methionine,26.8
2,Tsv2,Light,essential_Aas,792.7
2,Tsv2,Light,non_essential_Aas,1036.7
3,Tsv2,Light,FAs,461.41
3,Tsv2,Light,saturated_Fas,104.42
3,Tsv2,Light,omega_3_polyunsaturated_Fas,163.33
3,Tsv2,Light,monounsaturated_Fas,21.32
3,Tsv2,Light,polyunsaturated_Fas,335.66
3,Tsv2,Light,omega_6_polyunsaturated_Fas,172.33
3,Tsv2,Light,lysine,98.8
3,Tsv2,Light,methionine,26.1
3,Tsv2,Light,essential_Aas,735
3,Tsv2,Light,non_essential_Aas,951.2
1,Tsv11,Heavy,FAs,474.01
1,Tsv11,Heavy,saturated_Fas,138.6
1,Tsv11,Heavy,omega_3_polyunsaturated_Fas,176.31
1,Tsv11,Heavy,monounsaturated_Fas,54.27
1,Tsv11,Heavy,polyunsaturated_Fas,281.15
1,Tsv11,Heavy,omega_6_polyunsaturated_Fas,104.84
1,Tsv11,Heavy,lysine,80.1
1,Tsv11,Heavy,methionine,25.8
1,Tsv11,Heavy,essential_Aas,726
1,Tsv11,Heavy,non_essential_Aas,983.9
2,Tsv11,Heavy,FAs,330.75
2,Tsv11,Heavy,saturated_Fas,93.93
2,Tsv11,Heavy,omega_3_polyunsaturated_Fas,134.54
2,Tsv11,Heavy,monounsaturated_Fas,28.41
2,Tsv11,Heavy,polyunsaturated_Fas,208.4
2,Tsv11,Heavy,omega_6_polyunsaturated_Fas,73.86
2,Tsv11,Heavy,lysine,73.1
2,Tsv11,Heavy,methionine,17.4
2,Tsv11,Heavy,essential_Aas,463.5
2,Tsv11,Heavy,non_essential_Aas,593.2
3,Tsv11,Heavy,FAs,530.1
3,Tsv11,Heavy,saturated_Fas,142.79
3,Tsv11,Heavy,omega_3_polyunsaturated_Fas,171.47
3,Tsv11,Heavy,monounsaturated_Fas,56.6
3,Tsv11,Heavy,polyunsaturated_Fas,330.71
3,Tsv11,Heavy,omega_6_polyunsaturated_Fas,159.24
3,Tsv11,Heavy,lysine,77.5
3,Tsv11,Heavy,methionine,30.1
3,Tsv11,Heavy,essential_Aas,733.7
3,Tsv11,Heavy,non_essential_Aas,1020.4
1,Tsv11,Light,FAs,525.87
1,Tsv11,Light,saturated_Fas,143.39
1,Tsv11,Light,omega_3_polyunsaturated_Fas,221.82
1,Tsv11,Light,monounsaturated_Fas,33.23
1,Tsv11,Light,polyunsaturated_Fas,349.25
1,Tsv11,Light,omega_6_polyunsaturated_Fas,127.44
1,Tsv11,Light,lysine,96.4
1,Tsv11,Light,methionine,24.3
1,Tsv11,Light,essential_Aas,619.9
1,Tsv11,Light,non_essential_Aas,774.9
2,Tsv11,Light,FAs,513.55
2,Tsv11,Light,saturated_Fas,131.92
2,Tsv11,Light,omega_3_polyunsaturated_Fas,230.58
2,Tsv11,Light,monounsaturated_Fas,22.94
2,Tsv11,Light,polyunsaturated_Fas,358.68
2,Tsv11,Light,omega_6_polyunsaturated_Fas,128.1
2,Tsv11,Light,lysine,104.7
2,Tsv11,Light,methionine,22.6
2,Tsv11,Light,essential_Aas,637.1
2,Tsv11,Light,non_essential_Aas,781.2
3,Tsv11,Light,FAs,543.87
3,Tsv11,Light,saturated_Fas,147.97
3,Tsv11,Light,omega_3_polyunsaturated_Fas,217.51
3,Tsv11,Light,monounsaturated_Fas,36.29
3,Tsv11,Light,polyunsaturated_Fas,359.61
3,Tsv11,Light,omega_6_polyunsaturated_Fas,142.1
3,Tsv11,Light,lysine,102.7
3,Tsv11,Light,methionine,26
3,Tsv11,Light,essential_Aas,662
3,Tsv11,Light,non_essential_Aas,837.2
