cultivar,treatment,chromatography,metabolite,log_abundance
Cabernet_Sauvignon,dry,GC/MS,Alanine_2TMS,1.427013906
Cabernet_Sauvignon,well_watered,GC/MS,Alanine_2TMS,1.499672184
Merlot,dry,GC/MS,Alanine_2TMS,-0.441966893
Merlot,well_watered,GC/MS,Alanine_2TMS,-0.202974531
Pinot_Noir,dry,GC/MS,Alanine_2TMS,1.832338927
Pinot_Noir,well_watered,GC/MS,Alanine_2TMS,2.175975265
Chardonnay,dry,GC/MS,Alanine_2TMS,2.28886096
Chardonnay,well_watered,GC/MS,Alanine_2TMS,2.829174492
Semillon,dry,GC/MS,Alanine_2TMS,1.364744071
Semillon,well_watered,GC/MS,Alanine_2TMS,1.476642434
Cabernet_Sauvignon,dry,GC/MS,Alanine_3TMS,-4.249214912
Cabernet_Sauvignon,well_watered,GC/MS,Alanine_3TMS,-4.339072032
Merlot,dry,GC/MS,Alanine_3TMS,-1.512326103
Merlot,well_watered,GC/MS,Alanine_3TMS,-1.604345945
Pinot_Noir,dry,GC/MS,Alanine_3TMS,1.011467917
Pinot_Noir,well_watered,GC/MS,Alanine_3TMS,0.851986833
Chardonnay,dry,GC/MS,Alanine_3TMS,-3.42977745
Chardonnay,well_watered,GC/MS,Alanine_3TMS,-3.888645642
Semillon,dry,GC/MS,Alanine_3TMS,-2.269773761
Semillon,well_watered,GC/MS,Alanine_3TMS,-2.276315353
Cabernet_Sauvignon,dry,GC/MS,Beta_alanine_2TMS,0.298727666
Cabernet_Sauvignon,well_watered,GC/MS,Beta_alanine_2TMS,0.269562819
Merlot,dry,GC/MS,Beta_alanine_2TMS,-0.528999919
Merlot,well_watered,GC/MS,Beta_alanine_2TMS,-0.435196117
Pinot_Noir,dry,GC/MS,Beta_alanine_2TMS,-1.459013442
Pinot_Noir,well_watered,GC/MS,Beta_alanine_2TMS,-1.164443373
Chardonnay,dry,GC/MS,Beta_alanine_2TMS,-2.062005864
Chardonnay,well_watered,GC/MS,Beta_alanine_2TMS,-1.93996963
Semillon,dry,GC/MS,Beta_alanine_2TMS,-2.38064782
Semillon,well_watered,GC/MS,Beta_alanine_2TMS,-2.263341608
Cabernet_Sauvignon,dry,GC/MS,Arabitol_5TMS,2.203385539
Cabernet_Sauvignon,well_watered,GC/MS,Arabitol_5TMS,2.321020056
Merlot,dry,GC/MS,Arabitol_5TMS,2.220736211
Merlot,well_watered,GC/MS,Arabitol_5TMS,2.146350058
Pinot_Noir,dry,GC/MS,Arabitol_5TMS,2.130925646
Pinot_Noir,well_watered,GC/MS,Arabitol_5TMS,1.972806552
Chardonnay,dry,GC/MS,Arabitol_5TMS,-4.897317454
Chardonnay,well_watered,GC/MS,Arabitol_5TMS,-5.042033547
Semillon,dry,GC/MS,Arabitol_5TMS,2.073813933
Semillon,well_watered,GC/MS,Arabitol_5TMS,1.801998161
Cabernet_Sauvignon,dry,GC/MS,Arginine,-0.496639186
Cabernet_Sauvignon,well_watered,GC/MS,Arginine,-0.268931641
Merlot,dry,GC/MS,Arginine,NA
Merlot,well_watered,GC/MS,Arginine,NA
Pinot_Noir,dry,GC/MS,Arginine,0.840196125
Pinot_Noir,well_watered,GC/MS,Arginine,0.455193438
Chardonnay,dry,GC/MS,Arginine,0.948935402
Chardonnay,well_watered,GC/MS,Arginine,1.903145935
Semillon,dry,GC/MS,Arginine,-0.178879885
Semillon,well_watered,GC/MS,Arginine,0.475092894
Cabernet_Sauvignon,dry,GC/MS,Aspartic_acid_2TMS,-0.514446423
Cabernet_Sauvignon,well_watered,GC/MS,Aspartic_acid_2TMS,0.137752203
Merlot,dry,GC/MS,Aspartic_acid_2TMS,-1.868884714
Merlot,well_watered,GC/MS,Aspartic_acid_2TMS,-0.953256876
Pinot_Noir,dry,GC/MS,Aspartic_acid_2TMS,0.828419072
Pinot_Noir,well_watered,GC/MS,Aspartic_acid_2TMS,1.027799357
Chardonnay,dry,GC/MS,Aspartic_acid_2TMS,0.556264711
Chardonnay,well_watered,GC/MS,Aspartic_acid_2TMS,0.739455243
Semillon,dry,GC/MS,Aspartic_acid_2TMS,0.17458094
Semillon,well_watered,GC/MS,Aspartic_acid_2TMS,0.865543505
Cabernet_Sauvignon,dry,GC/MS,Aspartic_acid_3TMS,-0.637299915
Cabernet_Sauvignon,well_watered,GC/MS,Aspartic_acid_3TMS,-0.626072079
Merlot,dry,GC/MS,Aspartic_acid_3TMS,-2.298775129
Merlot,well_watered,GC/MS,Aspartic_acid_3TMS,-1.725723262
Pinot_Noir,dry,GC/MS,Aspartic_acid_3TMS,0.205387602
Pinot_Noir,well_watered,GC/MS,Aspartic_acid_3TMS,0.40823894
Chardonnay,dry,GC/MS,Aspartic_acid_3TMS,1.995563041
Chardonnay,well_watered,GC/MS,Aspartic_acid_3TMS,2.587188044
Semillon,dry,GC/MS,Aspartic_acid_3TMS,-0.604467738
Semillon,well_watered,GC/MS,Aspartic_acid_3TMS,0.498426174
Cabernet_Sauvignon,dry,GC/MS,Benzoic_acid_1TMS,-2.188464006
Cabernet_Sauvignon,well_watered,GC/MS,Benzoic_acid_1TMS,-2.216729773
Merlot,dry,GC/MS,Benzoic_acid_1TMS,-3.130491904
Merlot,well_watered,GC/MS,Benzoic_acid_1TMS,-3.201089299
Pinot_Noir,dry,GC/MS,Benzoic_acid_1TMS,-3.105201566
Pinot_Noir,well_watered,GC/MS,Benzoic_acid_1TMS,-3.348800442
Chardonnay,dry,GC/MS,Benzoic_acid_1TMS,-4.481119926
Chardonnay,well_watered,GC/MS,Benzoic_acid_1TMS,-4.432466531
Semillon,dry,GC/MS,Benzoic_acid_1TMS,-1.987305388
Semillon,well_watered,GC/MS,Benzoic_acid_1TMS,-2.181235856
Cabernet_Sauvignon,dry,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,-4.292054644
Cabernet_Sauvignon,well_watered,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,-4.7507321
Merlot,dry,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Merlot,well_watered,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Pinot_Noir,dry,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Pinot_Noir,well_watered,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Chardonnay,dry,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,-4.306481217
Chardonnay,well_watered,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,-4.253712427
Semillon,dry,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Semillon,well_watered,GC/MS,Butanoic_acid_2_4_dihydroxy_3TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Butanoic_acid_4_amino_3TMS,0.138444397
Cabernet_Sauvignon,well_watered,GC/MS,Butanoic_acid_4_amino_3TMS,0.274260604
Merlot,dry,GC/MS,Butanoic_acid_4_amino_3TMS,0.792285687
Merlot,well_watered,GC/MS,Butanoic_acid_4_amino_3TMS,0.422148261
Pinot_Noir,dry,GC/MS,Butanoic_acid_4_amino_3TMS,1.454884677
Pinot_Noir,well_watered,GC/MS,Butanoic_acid_4_amino_3TMS,1.772633123
Chardonnay,dry,GC/MS,Butanoic_acid_4_amino_3TMS,0.691291408
Chardonnay,well_watered,GC/MS,Butanoic_acid_4_amino_3TMS,0.953053973
Semillon,dry,GC/MS,Butanoic_acid_4_amino_3TMS,-0.135961187
Semillon,well_watered,GC/MS,Butanoic_acid_4_amino_3TMS,0.032934824
Cabernet_Sauvignon,dry,GC/MS,Caffeic_acid_cis_3TMS,-0.258718535
Cabernet_Sauvignon,well_watered,GC/MS,Caffeic_acid_cis_3TMS,-0.262978197
Merlot,dry,GC/MS,Caffeic_acid_cis_3TMS,0.475511555
Merlot,well_watered,GC/MS,Caffeic_acid_cis_3TMS,0.382646745
Pinot_Noir,dry,GC/MS,Caffeic_acid_cis_3TMS,1.087545479
Pinot_Noir,well_watered,GC/MS,Caffeic_acid_cis_3TMS,1.001458285
Chardonnay,dry,GC/MS,Caffeic_acid_cis_3TMS,-0.005082376
Chardonnay,well_watered,GC/MS,Caffeic_acid_cis_3TMS,0.352942297
Semillon,dry,GC/MS,Caffeic_acid_cis_3TMS,0.164844072
Semillon,well_watered,GC/MS,Caffeic_acid_cis_3TMS,-0.019546277
Cabernet_Sauvignon,dry,GC/MS,Catechin_5TMS,-1.676772836
Cabernet_Sauvignon,well_watered,GC/MS,Catechin_5TMS,-1.599378076
Merlot,dry,GC/MS,Catechin_5TMS,0.418744373
Merlot,well_watered,GC/MS,Catechin_5TMS,-0.168329262
Pinot_Noir,dry,GC/MS,Catechin_5TMS,-1.104088196
Pinot_Noir,well_watered,GC/MS,Catechin_5TMS,-0.739206712
Chardonnay,dry,GC/MS,Catechin_5TMS,-1.344231499
Chardonnay,well_watered,GC/MS,Catechin_5TMS,-2.028694867
Semillon,dry,GC/MS,Catechin_5TMS,-5.961827234
Semillon,well_watered,GC/MS,Catechin_5TMS,-5.902132816
Cabernet_Sauvignon,dry,GC/MS,Cinnamic_acid_trans_1TMS,-1.168912091
Cabernet_Sauvignon,well_watered,GC/MS,Cinnamic_acid_trans_1TMS,-1.390422653
Merlot,dry,GC/MS,Cinnamic_acid_trans_1TMS,-0.047121749
Merlot,well_watered,GC/MS,Cinnamic_acid_trans_1TMS,-0.250854393
Pinot_Noir,dry,GC/MS,Cinnamic_acid_trans_1TMS,0.227195382
Pinot_Noir,well_watered,GC/MS,Cinnamic_acid_trans_1TMS,0.070163362
Chardonnay,dry,GC/MS,Cinnamic_acid_trans_1TMS,-1.199659089
Chardonnay,well_watered,GC/MS,Cinnamic_acid_trans_1TMS,-0.702224246
Semillon,dry,GC/MS,Cinnamic_acid_trans_1TMS,-1.109700695
Semillon,well_watered,GC/MS,Cinnamic_acid_trans_1TMS,-1.209946152
Cabernet_Sauvignon,dry,GC/MS,Citric_acid_Citrate,1.463468345
Cabernet_Sauvignon,well_watered,GC/MS,Citric_acid_Citrate,2.034457525
Merlot,dry,GC/MS,Citric_acid_Citrate,-0.031011292
Merlot,well_watered,GC/MS,Citric_acid_Citrate,-0.150035614
Pinot_Noir,dry,GC/MS,Citric_acid_Citrate,1.681943868
Pinot_Noir,well_watered,GC/MS,Citric_acid_Citrate,2.234085161
Chardonnay,dry,GC/MS,Citric_acid_Citrate,2.061478294
Chardonnay,well_watered,GC/MS,Citric_acid_Citrate,2.205737019
Semillon,dry,GC/MS,Citric_acid_Citrate,1.014636703
Semillon,well_watered,GC/MS,Citric_acid_Citrate,1.111200772
Cabernet_Sauvignon,dry,GC/MS,Epicatechin,0.30280738
Cabernet_Sauvignon,well_watered,GC/MS,Epicatechin,0.37074343
Merlot,dry,GC/MS,Epicatechin,2.017080006
Merlot,well_watered,GC/MS,Epicatechin,1.268929928
Pinot_Noir,dry,GC/MS,Epicatechin,0.747443723
Pinot_Noir,well_watered,GC/MS,Epicatechin,0.817707061
Chardonnay,dry,GC/MS,Epicatechin,1.328579557
Chardonnay,well_watered,GC/MS,Epicatechin,1.00562321
Semillon,dry,GC/MS,Epicatechin,0.985428278
Semillon,well_watered,GC/MS,Epicatechin,1.332837804
Cabernet_Sauvignon,dry,GC/MS,Erythritol_4TMS,-4.36964666
Cabernet_Sauvignon,well_watered,GC/MS,Erythritol_4TMS,-2.817543307
Merlot,dry,GC/MS,Erythritol_4TMS,1.130833894
Merlot,well_watered,GC/MS,Erythritol_4TMS,1.143163579
Pinot_Noir,dry,GC/MS,Erythritol_4TMS,0.548102878
Pinot_Noir,well_watered,GC/MS,Erythritol_4TMS,0.586654788
Chardonnay,dry,GC/MS,Erythritol_4TMS,1.344503109
Chardonnay,well_watered,GC/MS,Erythritol_4TMS,1.630620042
Semillon,dry,GC/MS,Erythritol_4TMS,0.713646812
Semillon,well_watered,GC/MS,Erythritol_4TMS,0.908842064
Cabernet_Sauvignon,dry,GC/MS,Erythronic_acid_4TMS,-1.741264438
Cabernet_Sauvignon,well_watered,GC/MS,Erythronic_acid_4TMS,-1.310276487
Merlot,dry,GC/MS,Erythronic_acid_4TMS,-2.819798083
Merlot,well_watered,GC/MS,Erythronic_acid_4TMS,-2.866139413
Pinot_Noir,dry,GC/MS,Erythronic_acid_4TMS,-1.048697866
Pinot_Noir,well_watered,GC/MS,Erythronic_acid_4TMS,-1.46161833
Chardonnay,dry,GC/MS,Erythronic_acid_4TMS,-0.856475711
Chardonnay,well_watered,GC/MS,Erythronic_acid_4TMS,-1.003976704
Semillon,dry,GC/MS,Erythronic_acid_4TMS,-0.810888029
Semillon,well_watered,GC/MS,Erythronic_acid_4TMS,-0.633024226
Cabernet_Sauvignon,dry,GC/MS,Ethanolamine_3TMS,0.191915844
Cabernet_Sauvignon,well_watered,GC/MS,Ethanolamine_3TMS,0.098281527
Merlot,dry,GC/MS,Ethanolamine_3TMS,-0.346212743
Merlot,well_watered,GC/MS,Ethanolamine_3TMS,-0.153958657
Pinot_Noir,dry,GC/MS,Ethanolamine_3TMS,0.014486418
Pinot_Noir,well_watered,GC/MS,Ethanolamine_3TMS,0.119791379
Chardonnay,dry,GC/MS,Ethanolamine_3TMS,-0.496759919
Chardonnay,well_watered,GC/MS,Ethanolamine_3TMS,-0.289809195
Semillon,dry,GC/MS,Ethanolamine_3TMS,0.149753569
Semillon,well_watered,GC/MS,Ethanolamine_3TMS,0.343258807
Cabernet_Sauvignon,dry,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.179886504
Cabernet_Sauvignon,well_watered,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.420057845
Merlot,dry,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.401573868
Merlot,well_watered,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.432021837
Pinot_Noir,dry,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.583401726
Pinot_Noir,well_watered,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.78652042
Chardonnay,dry,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-2.915043946
Chardonnay,well_watered,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-3.190746171
Semillon,dry,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-1.837536108
Semillon,well_watered,GC/MS,Fucose_rhamnose_1MEOX_4TMS_BP,-2.074034504
Cabernet_Sauvignon,dry,GC/MS,Fumaric_acid_2TMS,-0.648124046
Cabernet_Sauvignon,well_watered,GC/MS,Fumaric_acid_2TMS,-0.470223114
Merlot,dry,GC/MS,Fumaric_acid_2TMS,-1.319211767
Merlot,well_watered,GC/MS,Fumaric_acid_2TMS,-1.087556606
Pinot_Noir,dry,GC/MS,Fumaric_acid_2TMS,-0.054120994
Pinot_Noir,well_watered,GC/MS,Fumaric_acid_2TMS,0.025786811
Chardonnay,dry,GC/MS,Fumaric_acid_2TMS,0.199932514
Chardonnay,well_watered,GC/MS,Fumaric_acid_2TMS,0.801772704
Semillon,dry,GC/MS,Fumaric_acid_2TMS,-0.776640367
Semillon,well_watered,GC/MS,Fumaric_acid_2TMS,-0.620894489
Cabernet_Sauvignon,dry,GC/MS,Galactinol_9TMS,1.374354585
Cabernet_Sauvignon,well_watered,GC/MS,Galactinol_9TMS,1.052349221
Merlot,dry,GC/MS,Galactinol_9TMS,0.19181834
Merlot,well_watered,GC/MS,Galactinol_9TMS,0.502132508
Pinot_Noir,dry,GC/MS,Galactinol_9TMS,0.489809376
Pinot_Noir,well_watered,GC/MS,Galactinol_9TMS,0.5314142
Chardonnay,dry,GC/MS,Galactinol_9TMS,1.476713237
Chardonnay,well_watered,GC/MS,Galactinol_9TMS,1.776987858
Semillon,dry,GC/MS,Galactinol_9TMS,-0.420268963
Semillon,well_watered,GC/MS,Galactinol_9TMS,0.395948788
Cabernet_Sauvignon,dry,GC/MS,Galactonic_acid_6TMS,1.197561709
Cabernet_Sauvignon,well_watered,GC/MS,Galactonic_acid_6TMS,1.570134313
Merlot,dry,GC/MS,Galactonic_acid_6TMS,0.68279078
Merlot,well_watered,GC/MS,Galactonic_acid_6TMS,0.48100153
Pinot_Noir,dry,GC/MS,Galactonic_acid_6TMS,1.699620746
Pinot_Noir,well_watered,GC/MS,Galactonic_acid_6TMS,1.778915414
Chardonnay,dry,GC/MS,Galactonic_acid_6TMS,3.948111032
Chardonnay,well_watered,GC/MS,Galactonic_acid_6TMS,3.799897888
Semillon,dry,GC/MS,Galactonic_acid_6TMS,2.945193286
Semillon,well_watered,GC/MS,Galactonic_acid_6TMS,3.327764954
Cabernet_Sauvignon,dry,GC/MS,Gallic_acid_4TMS,-2.129382292
Cabernet_Sauvignon,well_watered,GC/MS,Gallic_acid_4TMS,-2.196041176
Merlot,dry,GC/MS,Gallic_acid_4TMS,-0.300782263
Merlot,well_watered,GC/MS,Gallic_acid_4TMS,-1.454255252
Pinot_Noir,dry,GC/MS,Gallic_acid_4TMS,NA
Pinot_Noir,well_watered,GC/MS,Gallic_acid_4TMS,NA
Chardonnay,dry,GC/MS,Gallic_acid_4TMS,-4.30532418
Chardonnay,well_watered,GC/MS,Gallic_acid_4TMS,-4.451852486
Semillon,dry,GC/MS,Gallic_acid_4TMS,-1.244296863
Semillon,well_watered,GC/MS,Gallic_acid_4TMS,-1.525378184
Cabernet_Sauvignon,dry,GC/MS,Glucopyranose_4TMS,1.08757388
Cabernet_Sauvignon,well_watered,GC/MS,Glucopyranose_4TMS,-0.24634448
Merlot,dry,GC/MS,Glucopyranose_4TMS,4.469317391
Merlot,well_watered,GC/MS,Glucopyranose_4TMS,4.934430443
Pinot_Noir,dry,GC/MS,Glucopyranose_4TMS,4.744661635
Pinot_Noir,well_watered,GC/MS,Glucopyranose_4TMS,4.034541656
Chardonnay,dry,GC/MS,Glucopyranose_4TMS,3.524103171
Chardonnay,well_watered,GC/MS,Glucopyranose_4TMS,2.348008844
Semillon,dry,GC/MS,Glucopyranose_4TMS,6.395375918
Semillon,well_watered,GC/MS,Glucopyranose_4TMS,6.249352364
Cabernet_Sauvignon,dry,GC/MS,Glucopyranose_5TMS,1.081296815
Cabernet_Sauvignon,well_watered,GC/MS,Glucopyranose_5TMS,1.523428753
Merlot,dry,GC/MS,Glucopyranose_5TMS,2.448628555
Merlot,well_watered,GC/MS,Glucopyranose_5TMS,2.275070749
Pinot_Noir,dry,GC/MS,Glucopyranose_5TMS,1.541890381
Pinot_Noir,well_watered,GC/MS,Glucopyranose_5TMS,1.365910454
Chardonnay,dry,GC/MS,Glucopyranose_5TMS,8.377253022
Chardonnay,well_watered,GC/MS,Glucopyranose_5TMS,8.284286386
Semillon,dry,GC/MS,Glucopyranose_5TMS,1.061482579
Semillon,well_watered,GC/MS,Glucopyranose_5TMS,2.521371453
Cabernet_Sauvignon,dry,GC/MS,Glutamic_acid_2TMS,-1.279037893
Cabernet_Sauvignon,well_watered,GC/MS,Glutamic_acid_2TMS,-0.509098645
Merlot,dry,GC/MS,Glutamic_acid_2TMS,-2.551418498
Merlot,well_watered,GC/MS,Glutamic_acid_2TMS,-1.634917749
Pinot_Noir,dry,GC/MS,Glutamic_acid_2TMS,NA
Pinot_Noir,well_watered,GC/MS,Glutamic_acid_2TMS,NA
Chardonnay,dry,GC/MS,Glutamic_acid_2TMS,0.597292681
Chardonnay,well_watered,GC/MS,Glutamic_acid_2TMS,0.698439137
Semillon,dry,GC/MS,Glutamic_acid_2TMS,-0.018689745
Semillon,well_watered,GC/MS,Glutamic_acid_2TMS,0.170948119
Cabernet_Sauvignon,dry,GC/MS,Glutamic_acid_3TMS,-0.52735136
Cabernet_Sauvignon,well_watered,GC/MS,Glutamic_acid_3TMS,0.067612485
Merlot,dry,GC/MS,Glutamic_acid_3TMS,NA
Merlot,well_watered,GC/MS,Glutamic_acid_3TMS,NA
Pinot_Noir,dry,GC/MS,Glutamic_acid_3TMS,-1.220757769
Pinot_Noir,well_watered,GC/MS,Glutamic_acid_3TMS,-0.391828852
Chardonnay,dry,GC/MS,Glutamic_acid_3TMS,1.340080571
Chardonnay,well_watered,GC/MS,Glutamic_acid_3TMS,1.880355482
Semillon,dry,GC/MS,Glutamic_acid_3TMS,-0.25769731
Semillon,well_watered,GC/MS,Glutamic_acid_3TMS,-0.165584681
Cabernet_Sauvignon,dry,GC/MS,Glutamine_2TMS,-2.646291438
Cabernet_Sauvignon,well_watered,GC/MS,Glutamine_2TMS,-2.216796392
Merlot,dry,GC/MS,Glutamine_2TMS,NA
Merlot,well_watered,GC/MS,Glutamine_2TMS,NA
Pinot_Noir,dry,GC/MS,Glutamine_2TMS,NA
Pinot_Noir,well_watered,GC/MS,Glutamine_2TMS,NA
Chardonnay,dry,GC/MS,Glutamine_2TMS,-1.861472734
Chardonnay,well_watered,GC/MS,Glutamine_2TMS,-1.429411805
Semillon,dry,GC/MS,Glutamine_2TMS,NA
Semillon,well_watered,GC/MS,Glutamine_2TMS,NA
Cabernet_Sauvignon,dry,GC/MS,Glutamine_3TMS,-2.280496771
Cabernet_Sauvignon,well_watered,GC/MS,Glutamine_3TMS,-2.629733516
Merlot,dry,GC/MS,Glutamine_3TMS,-2.925460577
Merlot,well_watered,GC/MS,Glutamine_3TMS,-2.561003909
Pinot_Noir,dry,GC/MS,Glutamine_3TMS,NA
Pinot_Noir,well_watered,GC/MS,Glutamine_3TMS,NA
Chardonnay,dry,GC/MS,Glutamine_3TMS,0.076624758
Chardonnay,well_watered,GC/MS,Glutamine_3TMS,1.330801123
Semillon,dry,GC/MS,Glutamine_3TMS,-1.667914877
Semillon,well_watered,GC/MS,Glutamine_3TMS,-1.730501287
Cabernet_Sauvignon,dry,GC/MS,Glyceric_acid,-2.909580379
Cabernet_Sauvignon,well_watered,GC/MS,Glyceric_acid,-2.295533968
Merlot,dry,GC/MS,Glyceric_acid,-2.53606128
Merlot,well_watered,GC/MS,Glyceric_acid,-2.315969218
Pinot_Noir,dry,GC/MS,Glyceric_acid,-2.181681383
Pinot_Noir,well_watered,GC/MS,Glyceric_acid,-1.97556975
Chardonnay,dry,GC/MS,Glyceric_acid,-1.949739593
Chardonnay,well_watered,GC/MS,Glyceric_acid,-1.603140157
Semillon,dry,GC/MS,Glyceric_acid,-1.844194528
Semillon,well_watered,GC/MS,Glyceric_acid,-1.52681787
Cabernet_Sauvignon,dry,GC/MS,Gulonic_acid,-1.294479948
Cabernet_Sauvignon,well_watered,GC/MS,Gulonic_acid,-1.311738188
Merlot,dry,GC/MS,Gulonic_acid,-0.115928116
Merlot,well_watered,GC/MS,Gulonic_acid,-0.377344987
Pinot_Noir,dry,GC/MS,Gulonic_acid,-0.683731785
Pinot_Noir,well_watered,GC/MS,Gulonic_acid,-1.254020937
Chardonnay,dry,GC/MS,Gulonic_acid,1.138853919
Chardonnay,well_watered,GC/MS,Gulonic_acid,1.203491577
Semillon,dry,GC/MS,Gulonic_acid,-1.503410946
Semillon,well_watered,GC/MS,Gulonic_acid,-1.591033601
Cabernet_Sauvignon,dry,GC/MS,Inositol_myo_6TMS,4.534753692
Cabernet_Sauvignon,well_watered,GC/MS,Inositol_myo_6TMS,4.405127178
Merlot,dry,GC/MS,Inositol_myo_6TMS,4.218800548
Merlot,well_watered,GC/MS,Inositol_myo_6TMS,4.277236092
Pinot_Noir,dry,GC/MS,Inositol_myo_6TMS,4.840366087
Pinot_Noir,well_watered,GC/MS,Inositol_myo_6TMS,4.584075708
Chardonnay,dry,GC/MS,Inositol_myo_6TMS,3.733063961
Chardonnay,well_watered,GC/MS,Inositol_myo_6TMS,3.700192535
Semillon,dry,GC/MS,Inositol_myo_6TMS,5.006502786
Semillon,well_watered,GC/MS,Inositol_myo_6TMS,5.203774705
Cabernet_Sauvignon,dry,GC/MS,Leucine_1TMS,1.221260593
Cabernet_Sauvignon,well_watered,GC/MS,Leucine_1TMS,0.823121317
Merlot,dry,GC/MS,Leucine_1TMS,-0.91400248
Merlot,well_watered,GC/MS,Leucine_1TMS,-0.69689519
Pinot_Noir,dry,GC/MS,Leucine_1TMS,0.472099679
Pinot_Noir,well_watered,GC/MS,Leucine_1TMS,0.150313861
Chardonnay,dry,GC/MS,Leucine_1TMS,2.269027243
Chardonnay,well_watered,GC/MS,Leucine_1TMS,1.990234249
Semillon,dry,GC/MS,Leucine_1TMS,-1.168315806
Semillon,well_watered,GC/MS,Leucine_1TMS,-0.924058684
Cabernet_Sauvignon,dry,GC/MS,Leucine_2TMS,2.056662274
Cabernet_Sauvignon,well_watered,GC/MS,Leucine_2TMS,1.413347481
Merlot,dry,GC/MS,Leucine_2TMS,-0.804703201
Merlot,well_watered,GC/MS,Leucine_2TMS,-0.440595453
Pinot_Noir,dry,GC/MS,Leucine_2TMS,0.916489779
Pinot_Noir,well_watered,GC/MS,Leucine_2TMS,0.965894362
Chardonnay,dry,GC/MS,Leucine_2TMS,1.972615245
Chardonnay,well_watered,GC/MS,Leucine_2TMS,2.0480566
Semillon,dry,GC/MS,Leucine_2TMS,-0.256583048
Semillon,well_watered,GC/MS,Leucine_2TMS,0.124568086
Cabernet_Sauvignon,dry,GC/MS,Lyxonic_acid_5TMS,-0.466021593
Cabernet_Sauvignon,well_watered,GC/MS,Lyxonic_acid_5TMS,-0.469991265
Merlot,dry,GC/MS,Lyxonic_acid_5TMS,-1.236138895
Merlot,well_watered,GC/MS,Lyxonic_acid_5TMS,-1.156419409
Pinot_Noir,dry,GC/MS,Lyxonic_acid_5TMS,-0.539819737
Pinot_Noir,well_watered,GC/MS,Lyxonic_acid_5TMS,-0.621347082
Chardonnay,dry,GC/MS,Lyxonic_acid_5TMS,-1.789390934
Chardonnay,well_watered,GC/MS,Lyxonic_acid_5TMS,-1.91574087
Semillon,dry,GC/MS,Lyxonic_acid_5TMS,-1.105839306
Semillon,well_watered,GC/MS,Lyxonic_acid_5TMS,-0.890065217
Cabernet_Sauvignon,dry,GC/MS,Maleic_acid_2TMS,-3.203041033
Cabernet_Sauvignon,well_watered,GC/MS,Maleic_acid_2TMS,-2.636193109
Merlot,dry,GC/MS,Maleic_acid_2TMS,NA
Merlot,well_watered,GC/MS,Maleic_acid_2TMS,NA
Pinot_Noir,dry,GC/MS,Maleic_acid_2TMS,NA
Pinot_Noir,well_watered,GC/MS,Maleic_acid_2TMS,NA
Chardonnay,dry,GC/MS,Maleic_acid_2TMS,-1.489145152
