wood_type,species,abundance,compound_class,compound_mg_g
hardwood,paper_birch,0,phytosteroids,stigmasterol
softwood,eastern_white_pine,0,phytosteroids,stigmasterol
softwood,eastern_hemlock,0,phytosteroids,stigmasterol
softwood,balsam_fir,0.211,phytosteroids,stigmasterol
hardwood,red_maple,0.793,phytosteroids,a_sitosterol
hardwood,northern_red_oak,6.367,phytosteroids,a_sitosterol
hardwood,paper_birch,0.645,phytosteroids,a_sitosterol
softwood,eastern_white_pine,0.305,phytosteroids,a_sitosterol
softwood,eastern_hemlock,2.509,phytosteroids,a_sitosterol
softwood,balsam_fir,4.98,phytosteroids,a_sitosterol
hardwood,red_maple,0.09,phytosteroids,stigmast_4_en_3_one_(sitostenone)
hardwood,northern_red_oak,0.464,phytosteroids,stigmast_4_en_3_one_(sitostenone)
hardwood,paper_birch,0.096,phytosteroids,stigmast_4_en_3_one_(sitostenone)
softwood,eastern_white_pine,0.022,phytosteroids,stigmast_4_en_3_one_(sitostenone)
softwood,eastern_hemlock,0.061,phytosteroids,stigmast_4_en_3_one_(sitostenone)
softwood,balsam_fir,0.15,phytosteroids,stigmast_4_en_3_one_(sitostenone)
hardwood,red_maple,0,phytosteroids,stigmasta_3_5_dien_7_one
hardwood,northern_red_oak,0.789,phytosteroids,stigmasta_3_5_dien_7_one
hardwood,paper_birch,0.256,phytosteroids,stigmasta_3_5_dien_7_one
softwood,eastern_white_pine,0.055,phytosteroids,stigmasta_3_5_dien_7_one
softwood,eastern_hemlock,0.145,phytosteroids,stigmasta_3_5_dien_7_one
softwood,balsam_fir,0.587,phytosteroids,stigmasta_3_5_dien_7_one
hardwood,red_maple,0,triterpenoids,allobetul_2_ene
hardwood,northern_red_oak,0,triterpenoids,allobetul_2_ene
hardwood,paper_birch,3.157,triterpenoids,allobetul_2_ene
softwood,eastern_white_pine,0,triterpenoids,allobetul_2_ene
softwood,eastern_hemlock,0,triterpenoids,allobetul_2_ene
softwood,balsam_fir,0,triterpenoids,allobetul_2_ene
hardwood,red_maple,0,triterpenoids,allobetulone
hardwood,northern_red_oak,0,triterpenoids,allobetulone
hardwood,paper_birch,0.231,triterpenoids,allobetulone
softwood,eastern_white_pine,0,triterpenoids,allobetulone
softwood,eastern_hemlock,0,triterpenoids,allobetulone
softwood,balsam_fir,0,triterpenoids,allobetulone
hardwood,red_maple,0,triterpenoids,allobetulin
hardwood,northern_red_oak,0,triterpenoids,allobetulin
hardwood,paper_birch,6.362,triterpenoids,allobetulin
softwood,eastern_white_pine,0,triterpenoids,allobetulin
softwood,eastern_hemlock,0,triterpenoids,allobetulin
softwood,balsam_fir,0,triterpenoids,allobetulin
hardwood,red_maple,0,triterpenoids,betulin
hardwood,northern_red_oak,0,triterpenoids,betulin
hardwood,paper_birch,46.71,triterpenoids,betulin
softwood,eastern_white_pine,0,triterpenoids,betulin
softwood,eastern_hemlock,0,triterpenoids,betulin
softwood,balsam_fir,0,triterpenoids,betulin
hardwood,red_maple,0.035,other_compounds,1_indanone
hardwood,northern_red_oak,0.043,other_compounds,1_indanone
hardwood,paper_birch,0.235,other_compounds,1_indanone
softwood,eastern_white_pine,0.128,other_compounds,1_indanone
softwood,eastern_hemlock,0.096,other_compounds,1_indanone
softwood,balsam_fir,0.096,other_compounds,1_indanone
hardwood,red_maple,0,other_compounds,methyl_indanones
hardwood,northern_red_oak,0.074,other_compounds,methyl_indanones
hardwood,paper_birch,0.122,other_compounds,methyl_indanones
softwood,eastern_white_pine,0.178,other_compounds,methyl_indanones
softwood,eastern_hemlock,0.208,other_compounds,methyl_indanones
softwood,balsam_fir,0.21,other_compounds,methyl_indanones
hardwood,red_maple,0.076,other_compounds,squalene
hardwood,northern_red_oak,0.339,other_compounds,squalene
hardwood,paper_birch,0.496,other_compounds,squalene
softwood,eastern_white_pine,0.114,other_compounds,squalene
softwood,eastern_hemlock,0.119,other_compounds,squalene
softwood,balsam_fir,0.174,other_compounds,squalene
hardwood,red_maple,0,other_compounds,tocopherol_(vitamin_e)
hardwood,northern_red_oak,0.4,other_compounds,tocopherol_(vitamin_e)
hardwood,paper_birch,0,other_compounds,tocopherol_(vitamin_e)
softwood,eastern_white_pine,0,other_compounds,tocopherol_(vitamin_e)
softwood,eastern_hemlock,0,other_compounds,tocopherol_(vitamin_e)
softwood,balsam_fir,0,other_compounds,tocopherol_(vitamin_e)
hardwood,red_maple,0,n_alkanols,n_eicosanol
hardwood,northern_red_oak,0.286,n_alkanols,n_eicosanol
hardwood,paper_birch,0,n_alkanols,n_eicosanol
softwood,eastern_white_pine,0,n_alkanols,n_eicosanol
softwood,eastern_hemlock,0,n_alkanols,n_eicosanol
softwood,balsam_fir,0.047,n_alkanols,n_eicosanol
hardwood,red_maple,0,n_alkanals,n_tetracosanal
hardwood,northern_red_oak,0.081,n_alkanals,n_tetracosanal
hardwood,paper_birch,0,n_alkanals,n_tetracosanal
softwood,eastern_white_pine,0,n_alkanals,n_tetracosanal
softwood,eastern_hemlock,0.048,n_alkanals,n_tetracosanal
softwood,balsam_fir,0.06,n_alkanals,n_tetracosanal
hardwood,red_maple,0,n_alkanals,n_pentacosanal
hardwood,northern_red_oak,0.034,n_alkanals,n_pentacosanal
hardwood,paper_birch,0,n_alkanals,n_pentacosanal
softwood,eastern_white_pine,0,n_alkanals,n_pentacosanal
softwood,eastern_hemlock,0,n_alkanals,n_pentacosanal
softwood,balsam_fir,0,n_alkanals,n_pentacosanal
hardwood,red_maple,0.024,alkanoic_acids,n_nonadecanoic
hardwood,northern_red_oak,0.061,alkanoic_acids,n_nonadecanoic
hardwood,paper_birch,0.16,alkanoic_acids,n_nonadecanoic
softwood,eastern_white_pine,0.035,alkanoic_acids,n_nonadecanoic
softwood,eastern_hemlock,0.086,alkanoic_acids,n_nonadecanoic
softwood,balsam_fir,0.069,alkanoic_acids,n_nonadecanoic
hardwood,red_maple,0.107,alkanoic_acids,n_eicosanoic
hardwood,northern_red_oak,0.253,alkanoic_acids,n_eicosanoic
hardwood,paper_birch,0.804,alkanoic_acids,n_eicosanoic
softwood,eastern_white_pine,0.316,alkanoic_acids,n_eicosanoic
softwood,eastern_hemlock,0.665,alkanoic_acids,n_eicosanoic
softwood,balsam_fir,0.337,alkanoic_acids,n_eicosanoic
hardwood,red_maple,0.074,alkanoic_acids,n_heneicosanoic
hardwood,northern_red_oak,0.189,alkanoic_acids,n_heneicosanoic
hardwood,paper_birch,0.333,alkanoic_acids,n_heneicosanoic
softwood,eastern_white_pine,0.034,alkanoic_acids,n_heneicosanoic
softwood,eastern_hemlock,0.185,alkanoic_acids,n_heneicosanoic
softwood,balsam_fir,0.16,alkanoic_acids,n_heneicosanoic
hardwood,red_maple,0.505,alkanoic_acids,n_docosanoic
hardwood,northern_red_oak,1.236,alkanoic_acids,n_docosanoic
hardwood,paper_birch,0.768,alkanoic_acids,n_docosanoic
softwood,eastern_white_pine,0.283,alkanoic_acids,n_docosanoic
softwood,eastern_hemlock,1.54,alkanoic_acids,n_docosanoic
softwood,balsam_fir,1.446,alkanoic_acids,n_docosanoic
hardwood,red_maple,0,alkanoic_acids,20_methyldocosanoic
hardwood,northern_red_oak,0,alkanoic_acids,20_methyldocosanoic
hardwood,paper_birch,0,alkanoic_acids,20_methyldocosanoic
softwood,eastern_white_pine,0,alkanoic_acids,20_methyldocosanoic
softwood,eastern_hemlock,0.013,alkanoic_acids,20_methyldocosanoic
softwood,balsam_fir,0.088,alkanoic_acids,20_methyldocosanoic
hardwood,red_maple,0.139,alkanoic_acids,n_tricosanoic
hardwood,northern_red_oak,0.347,alkanoic_acids,n_tricosanoic
hardwood,paper_birch,0.083,alkanoic_acids,n_tricosanoic
softwood,eastern_white_pine,0.028,alkanoic_acids,n_tricosanoic
softwood,eastern_hemlock,0.209,alkanoic_acids,n_tricosanoic
softwood,balsam_fir,0.233,alkanoic_acids,n_tricosanoic
hardwood,red_maple,0.612,alkanoic_acids,n_tetracosanoic
hardwood,northern_red_oak,4.347,alkanoic_acids,n_tetracosanoic
hardwood,paper_birch,0.166,alkanoic_acids,n_tetracosanoic
softwood,eastern_white_pine,0.191,alkanoic_acids,n_tetracosanoic
softwood,eastern_hemlock,4.058,alkanoic_acids,n_tetracosanoic
softwood,balsam_fir,1.526,alkanoic_acids,n_tetracosanoic
hardwood,red_maple,0.063,alkanoic_acids,n_pentacosanoic
hardwood,northern_red_oak,0.2,alkanoic_acids,n_pentacosanoic
hardwood,paper_birch,0.104,alkanoic_acids,n_pentacosanoic
softwood,eastern_white_pine,0.005,alkanoic_acids,n_pentacosanoic
softwood,eastern_hemlock,0.131,alkanoic_acids,n_pentacosanoic
softwood,balsam_fir,0.062,alkanoic_acids,n_pentacosanoic
hardwood,red_maple,0.073,alkanoic_acids,n_hexacosanoic
hardwood,northern_red_oak,1.837,alkanoic_acids,n_hexacosanoic
hardwood,paper_birch,0.054,alkanoic_acids,n_hexacosanoic
softwood,eastern_white_pine,0.016,alkanoic_acids,n_hexacosanoic
softwood,eastern_hemlock,2.039,alkanoic_acids,n_hexacosanoic
softwood,balsam_fir,0.115,alkanoic_acids,n_hexacosanoic
hardwood,red_maple,0,alkanoic_acids,n_heptacosanoic
hardwood,northern_red_oak,0.108,alkanoic_acids,n_heptacosanoic
hardwood,paper_birch,0,alkanoic_acids,n_heptacosanoic
softwood,eastern_white_pine,0,alkanoic_acids,n_heptacosanoic
softwood,eastern_hemlock,0.027,alkanoic_acids,n_heptacosanoic
softwood,balsam_fir,0,alkanoic_acids,n_heptacosanoic
hardwood,red_maple,0,alkanoic_acids,n_octacosanoic
hardwood,northern_red_oak,0.055,alkanoic_acids,n_octacosanoic
hardwood,paper_birch,0,alkanoic_acids,n_octacosanoic
softwood,eastern_white_pine,0,alkanoic_acids,n_octacosanoic
softwood,eastern_hemlock,0.256,alkanoic_acids,n_octacosanoic
softwood,balsam_fir,0,alkanoic_acids,n_octacosanoic
hardwood,red_maple,0,alkenoic_acids,heneicosenoic
hardwood,northern_red_oak,0,alkenoic_acids,heneicosenoic
hardwood,paper_birch,0,alkenoic_acids,heneicosenoic
softwood,eastern_white_pine,0,alkenoic_acids,heneicosenoic
softwood,eastern_hemlock,0,alkenoic_acids,heneicosenoic
softwood,balsam_fir,0,alkenoic_acids,heneicosenoic
hardwood,red_maple,0.161,alkenoic_acids,docosenoic
hardwood,northern_red_oak,0.241,alkenoic_acids,docosenoic
hardwood,paper_birch,0.422,alkenoic_acids,docosenoic
softwood,eastern_white_pine,0,alkenoic_acids,docosenoic
softwood,eastern_hemlock,0.161,alkenoic_acids,docosenoic
softwood,balsam_fir,0.143,alkenoic_acids,docosenoic
hardwood,red_maple,0,alkenoic_acids,tricosenoic
hardwood,northern_red_oak,0,alkenoic_acids,tricosenoic
hardwood,paper_birch,0,alkenoic_acids,tricosenoic
softwood,eastern_white_pine,0,alkenoic_acids,tricosenoic
softwood,eastern_hemlock,0,alkenoic_acids,tricosenoic
softwood,balsam_fir,0,alkenoic_acids,tricosenoic
hardwood,red_maple,0,alkenoic_acids,tetracosenoic
hardwood,northern_red_oak,0.601,alkenoic_acids,tetracosenoic
hardwood,paper_birch,0,alkenoic_acids,tetracosenoic
softwood,eastern_white_pine,0,alkenoic_acids,tetracosenoic
softwood,eastern_hemlock,0.122,alkenoic_acids,tetracosenoic
softwood,balsam_fir,0.029,alkenoic_acids,tetracosenoic
hardwood,red_maple,0,alkenoic_acids,pentacosenoic
hardwood,northern_red_oak,0.196,alkenoic_acids,pentacosenoic
hardwood,paper_birch,0,alkenoic_acids,pentacosenoic
softwood,eastern_white_pine,0,alkenoic_acids,pentacosenoic
softwood,eastern_hemlock,0,alkenoic_acids,pentacosenoic
softwood,balsam_fir,0,alkenoic_acids,pentacosenoic
hardwood,red_maple,0,alkenoic_acids,hexacosenoic
hardwood,northern_red_oak,0.123,alkenoic_acids,hexacosenoic
hardwood,paper_birch,0,alkenoic_acids,hexacosenoic
softwood,eastern_white_pine,0,alkenoic_acids,hexacosenoic
softwood,eastern_hemlock,0,alkenoic_acids,hexacosenoic
softwood,balsam_fir,0,alkenoic_acids,hexacosenoic
hardwood,red_maple,0,alkanedioic_acids,octadecanedioic
hardwood,northern_red_oak,0.067,alkanedioic_acids,octadecanedioic
hardwood,paper_birch,0.07,alkanedioic_acids,octadecanedioic
softwood,eastern_white_pine,0,alkanedioic_acids,octadecanedioic
softwood,eastern_hemlock,0.194,alkanedioic_acids,octadecanedioic
softwood,balsam_fir,0.109,alkanedioic_acids,octadecanedioic
hardwood,red_maple,0,alkanedioic_acids,eicosanedioic
hardwood,northern_red_oak,0.065,alkanedioic_acids,eicosanedioic
hardwood,paper_birch,0.069,alkanedioic_acids,eicosanedioic
softwood,eastern_white_pine,0.023,alkanedioic_acids,eicosanedioic
softwood,eastern_hemlock,0.137,alkanedioic_acids,eicosanedioic
softwood,balsam_fir,0.171,alkanedioic_acids,eicosanedioic
hardwood,red_maple,0.1,alkanedioic_acids,docosanedioic
hardwood,northern_red_oak,0.086,alkanedioic_acids,docosanedioic
hardwood,paper_birch,0.488,alkanedioic_acids,docosanedioic
softwood,eastern_white_pine,0,alkanedioic_acids,docosanedioic
softwood,eastern_hemlock,0.153,alkanedioic_acids,docosanedioic
softwood,balsam_fir,0.182,alkanedioic_acids,docosanedioic
hardwood,red_maple,0,alkanedioic_acids,tetracosanedioic
hardwood,northern_red_oak,0.32,alkanedioic_acids,tetracosanedioic
hardwood,paper_birch,0,alkanedioic_acids,tetracosanedioic
softwood,eastern_white_pine,0,alkanedioic_acids,tetracosanedioic
softwood,eastern_hemlock,0.031,alkanedioic_acids,tetracosanedioic
softwood,balsam_fir,0,alkanedioic_acids,tetracosanedioic
hardwood,red_maple,0,alkanedioic_acids,pentacosanedioic
hardwood,northern_red_oak,0.118,alkanedioic_acids,pentacosanedioic
hardwood,paper_birch,0,alkanedioic_acids,pentacosanedioic
softwood,eastern_white_pine,0,alkanedioic_acids,pentacosanedioic
softwood,eastern_hemlock,0,alkanedioic_acids,pentacosanedioic
softwood,balsam_fir,0,alkanedioic_acids,pentacosanedioic
hardwood,red_maple,0,alkanedioic_acids,hexacosanedioic
hardwood,northern_red_oak,0.07,alkanedioic_acids,hexacosanedioic
hardwood,paper_birch,0,alkanedioic_acids,hexacosanedioic
softwood,eastern_white_pine,0,alkanedioic_acids,hexacosanedioic
softwood,eastern_hemlock,0,alkanedioic_acids,hexacosanedioic
softwood,balsam_fir,0,alkanedioic_acids,hexacosanedioic
hardwood,red_maple,0,methyl_alkanoates,methyl_heneicosanoate
hardwood,northern_red_oak,0,methyl_alkanoates,methyl_heneicosanoate
hardwood,paper_birch,0.004,methyl_alkanoates,methyl_heneicosanoate
softwood,eastern_white_pine,0,methyl_alkanoates,methyl_heneicosanoate
softwood,eastern_hemlock,0,methyl_alkanoates,methyl_heneicosanoate
softwood,balsam_fir,0.007,methyl_alkanoates,methyl_heneicosanoate
hardwood,red_maple,0,methyl_alkanoates,methyl_docosanoate
hardwood,northern_red_oak,0.056,methyl_alkanoates,methyl_docosanoate
hardwood,paper_birch,0.005,methyl_alkanoates,methyl_docosanoate
softwood,eastern_white_pine,0.009,methyl_alkanoates,methyl_docosanoate
softwood,eastern_hemlock,0.038,methyl_alkanoates,methyl_docosanoate
softwood,balsam_fir,0.094,methyl_alkanoates,methyl_docosanoate
hardwood,red_maple,0,methyl_alkanoates,methyl_tricosanoate
hardwood,northern_red_oak,0,methyl_alkanoates,methyl_tricosanoate
hardwood,paper_birch,0.005,methyl_alkanoates,methyl_tricosanoate
softwood,eastern_white_pine,0,methyl_alkanoates,methyl_tricosanoate
softwood,eastern_hemlock,0,methyl_alkanoates,methyl_tricosanoate
softwood,balsam_fir,0.017,methyl_alkanoates,methyl_tricosanoate
hardwood,red_maple,0,methyl_alkanoates,methyl_tetracosanoate
hardwood,northern_red_oak,0.066,methyl_alkanoates,methyl_tetracosanoate
hardwood,paper_birch,0.008,methyl_alkanoates,methyl_tetracosanoate
softwood,eastern_white_pine,0.01,methyl_alkanoates,methyl_tetracosanoate
softwood,eastern_hemlock,0.127,methyl_alkanoates,methyl_tetracosanoate
softwood,balsam_fir,0.103,methyl_alkanoates,methyl_tetracosanoate
hardwood,red_maple,0,methyl_alkanoates,methyl_pentacosanoate
hardwood,northern_red_oak,0,methyl_alkanoates,methyl_pentacosanoate
hardwood,paper_birch,0,methyl_alkanoates,methyl_pentacosanoate
softwood,eastern_white_pine,0,methyl_alkanoates,methyl_pentacosanoate
softwood,eastern_hemlock,0,methyl_alkanoates,methyl_pentacosanoate
softwood,balsam_fir,0.015,methyl_alkanoates,methyl_pentacosanoate
hardwood,red_maple,0,methyl_alkanoates,methyl_hexacosanoate
hardwood,northern_red_oak,0.016,methyl_alkanoates,methyl_hexacosanoate
hardwood,paper_birch,0,methyl_alkanoates,methyl_hexacosanoate
softwood,eastern_white_pine,0,methyl_alkanoates,methyl_hexacosanoate
softwood,eastern_hemlock,0.04,methyl_alkanoates,methyl_hexacosanoate
softwood,balsam_fir,0.014,methyl_alkanoates,methyl_hexacosanoate
hardwood,red_maple,0,ethyl_alkanoates,ethyl_hexacosanoate
hardwood,northern_red_oak,0,ethyl_alkanoates,ethyl_hexacosanoate
hardwood,paper_birch,0,ethyl_alkanoates,ethyl_hexacosanoate
softwood,eastern_white_pine,0,ethyl_alkanoates,ethyl_hexacosanoate
softwood,eastern_hemlock,0.129,ethyl_alkanoates,ethyl_hexacosanoate
softwood,balsam_fir,0,ethyl_alkanoates,ethyl_hexacosanoate
hardwood,red_maple,0,methyl_alkenoates,methyl_docosenoate
hardwood,northern_red_oak,0,methyl_alkenoates,methyl_docosenoate
hardwood,paper_birch,0,methyl_alkenoates,methyl_docosenoate
softwood,eastern_white_pine,0,methyl_alkenoates,methyl_docosenoate
softwood,eastern_hemlock,0,methyl_alkenoates,methyl_docosenoate
softwood,balsam_fir,0.014,methyl_alkenoates,methyl_docosenoate
hardwood,red_maple,0,methyl_alkenoates,methyl_tetracosenoate
hardwood,northern_red_oak,0,methyl_alkenoates,methyl_tetracosenoate
hardwood,paper_birch,0,methyl_alkenoates,methyl_tetracosenoate
softwood,eastern_white_pine,0,methyl_alkenoates,methyl_tetracosenoate
softwood,eastern_hemlock,0,methyl_alkenoates,methyl_tetracosenoate
softwood,balsam_fir,0.011,methyl_alkenoates,methyl_tetracosenoate
hardwood,red_maple,0,guaiacols,methyl_vanillate
hardwood,northern_red_oak,0.072,guaiacols,methyl_vanillate
hardwood,paper_birch,0.154,guaiacols,methyl_vanillate
softwood,eastern_white_pine,0.165,guaiacols,methyl_vanillate
softwood,eastern_hemlock,0.231,guaiacols,methyl_vanillate
softwood,balsam_fir,0.237,guaiacols,methyl_vanillate
hardwood,red_maple,2.474,guaiacols,homovanillic_acid
hardwood,northern_red_oak,11.072,guaiacols,homovanillic_acid
hardwood,paper_birch,1.016,guaiacols,homovanillic_acid
softwood,eastern_white_pine,2.889,guaiacols,homovanillic_acid
softwood,eastern_hemlock,18.139,guaiacols,homovanillic_acid
softwood,balsam_fir,24.111,guaiacols,homovanillic_acid
hardwood,red_maple,0.071,guaiacols,methyl_homovanillate
hardwood,northern_red_oak,0.122,guaiacols,methyl_homovanillate
hardwood,paper_birch,0.047,guaiacols,methyl_homovanillate
softwood,eastern_white_pine,0.064,guaiacols,methyl_homovanillate
softwood,eastern_hemlock,0.173,guaiacols,methyl_homovanillate
softwood,balsam_fir,0.21,guaiacols,methyl_homovanillate
hardwood,red_maple,0,guaiacols,vanillin
hardwood,northern_red_oak,2.05,guaiacols,vanillin
hardwood,paper_birch,7.205,guaiacols,vanillin
softwood,eastern_white_pine,5.164,guaiacols,vanillin
softwood,eastern_hemlock,5.088,guaiacols,vanillin
softwood,balsam_fir,5.71,guaiacols,vanillin
hardwood,red_maple,1.624,guaiacols,acetovanillone
hardwood,northern_red_oak,2.357,guaiacols,acetovanillone
hardwood,paper_birch,3.395,guaiacols,acetovanillone
softwood,eastern_white_pine,2.988,guaiacols,acetovanillone
softwood,eastern_hemlock,5.425,guaiacols,acetovanillone
softwood,balsam_fir,5.967,guaiacols,acetovanillone
hardwood,red_maple,0.533,guaiacols,propiovanillone
hardwood,northern_red_oak,1.187,guaiacols,propiovanillone
hardwood,paper_birch,0.584,guaiacols,propiovanillone
softwood,eastern_white_pine,0.939,guaiacols,propiovanillone
softwood,eastern_hemlock,2.746,guaiacols,propiovanillone
softwood,balsam_fir,2.96,guaiacols,propiovanillone
hardwood,red_maple,4.352,guaiacols,guaiacyl_acetone
hardwood,northern_red_oak,7.24,guaiacols,guaiacyl_acetone
hardwood,paper_birch,4.644,guaiacols,guaiacyl_acetone
softwood,eastern_white_pine,4.436,guaiacols,guaiacyl_acetone
softwood,eastern_hemlock,16.28,guaiacols,guaiacyl_acetone
softwood,balsam_fir,17.678,guaiacols,guaiacyl_acetone
hardwood,red_maple,13.724,guaiacols,coniferyl_aldehyde
hardwood,northern_red_oak,17.271,guaiacols,coniferyl_aldehyde
hardwood,paper_birch,6.631,guaiacols,coniferyl_aldehyde
softwood,eastern_white_pine,7.374,guaiacols,coniferyl_aldehyde
softwood,eastern_hemlock,39.003,guaiacols,coniferyl_aldehyde
softwood,balsam_fir,30.954,guaiacols,coniferyl_aldehyde
hardwood,red_maple,0,syringols,syringic_acid
hardwood,northern_red_oak,4.93,syringols,syringic_acid
hardwood,paper_birch,0,syringols,syringic_acid
softwood,eastern_white_pine,0,syringols,syringic_acid
softwood,eastern_hemlock,0,syringols,syringic_acid
softwood,balsam_fir,0,syringols,syringic_acid
hardwood,red_maple,27.022,syringols,syringaldehyde
hardwood,northern_red_oak,21.967,syringols,syringaldehyde
hardwood,paper_birch,13.8,syringols,syringaldehyde
softwood,eastern_white_pine,2.355,syringols,syringaldehyde
softwood,eastern_hemlock,3.609,syringols,syringaldehyde
softwood,balsam_fir,7.446,syringols,syringaldehyde
hardwood,red_maple,7.209,syringols,acetosyringone
hardwood,northern_red_oak,9.905,syringols,acetosyringone
hardwood,paper_birch,2.979,syringols,acetosyringone
softwood,eastern_white_pine,0.576,syringols,acetosyringone
softwood,eastern_hemlock,1.021,syringols,acetosyringone
softwood,balsam_fir,3.122,syringols,acetosyringone
hardwood,red_maple,19.51,syringols,syringyl_acetone
hardwood,northern_red_oak,28.593,syringols,syringyl_acetone
hardwood,paper_birch,7.474,syringols,syringyl_acetone
softwood,eastern_white_pine,1.025,syringols,syringyl_acetone
softwood,eastern_hemlock,1.773,syringols,syringyl_acetone
softwood,balsam_fir,7.184,syringols,syringyl_acetone
hardwood,red_maple,1.582,syringols,propionyl_syringol
hardwood,northern_red_oak,2.109,syringols,propionyl_syringol
hardwood,paper_birch,0.746,syringols,propionyl_syringol
softwood,eastern_white_pine,0.167,syringols,propionyl_syringol
softwood,eastern_hemlock,0.267,syringols,propionyl_syringol
softwood,balsam_fir,0.588,syringols,propionyl_syringol
hardwood,red_maple,7.496,syringols,sinapyl_aldehyde
hardwood,northern_red_oak,8.224,syringols,sinapyl_aldehyde
hardwood,paper_birch,5.987,syringols,sinapyl_aldehyde
softwood,eastern_white_pine,0.219,syringols,sinapyl_aldehyde
softwood,eastern_hemlock,0,syringols,sinapyl_aldehyde
softwood,balsam_fir,1.088,syringols,sinapyl_aldehyde
hardwood,red_maple,0,phenols,benzenetriols
hardwood,northern_red_oak,2.057,phenols,benzenetriols
hardwood,paper_birch,0,phenols,benzenetriols
softwood,eastern_white_pine,0,phenols,benzenetriols
softwood,eastern_hemlock,0,phenols,benzenetriols
softwood,balsam_fir,0.324,phenols,benzenetriols
hardwood,red_maple,0.205,phenols,hydroxyacetophenones
hardwood,northern_red_oak,0.706,phenols,hydroxyacetophenones
hardwood,paper_birch,0.634,phenols,hydroxyacetophenones
softwood,eastern_white_pine,0.501,phenols,hydroxyacetophenones
softwood,eastern_hemlock,0.726,phenols,hydroxyacetophenones
softwood,balsam_fir,1.018,phenols,hydroxyacetophenones
hardwood,red_maple,0,phenols,methyl_hydroxy_benzoates
hardwood,northern_red_oak,0.198,phenols,methyl_hydroxy_benzoates
hardwood,paper_birch,0.262,phenols,methyl_hydroxy_benzoates
softwood,eastern_white_pine,0.083,phenols,methyl_hydroxy_benzoates
softwood,eastern_hemlock,0.129,phenols,methyl_hydroxy_benzoates
softwood,balsam_fir,0.176,phenols,methyl_hydroxy_benzoates
hardwood,red_maple,2.056,phenols,trimethoxybenzenes
hardwood,northern_red_oak,3.844,phenols,trimethoxybenzenes
hardwood,paper_birch,23.077,phenols,trimethoxybenzenes
softwood,eastern_white_pine,0.169,phenols,trimethoxybenzenes
softwood,eastern_hemlock,0,phenols,trimethoxybenzenes
softwood,balsam_fir,0.395,phenols,trimethoxybenzenes
hardwood,red_maple,5.786,phenols,3_4_5_trimethoxy_benzoic_acid
hardwood,northern_red_oak,3.062,phenols,3_4_5_trimethoxy_benzoic_acid
hardwood,paper_birch,0.279,phenols,3_4_5_trimethoxy_benzoic_acid
softwood,eastern_white_pine,0,phenols,3_4_5_trimethoxy_benzoic_acid
softwood,eastern_hemlock,0.119,phenols,3_4_5_trimethoxy_benzoic_acid
